Tag,Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel.Type,Losses
4408,110617,68,51,2,M,Single,13,P,69.87144406
4409,145564,25,6,2,F,Married,14,P,251.0376094
4410,120285,53,35,2,M,Single,6,P,474.9232008
4411,183210,46,29,2,M,Married,5,D,740.3524966
4412,127251,62,41,2,F,Married,9,P,294.4686241
4413,137680,24,7,2,M,Married,15,P,491.8858119
4414,191921,65,45,2,F,Single,14,P,234.7325107
4415,127602,16,0,2,F,Single,5,D,639.3834022
4416,117078,30,11,2,M,Single,9,P,396.8697556
4417,151780,61,41,2,F,Single,6,P,177.7606627
4418,107692,67,48,2,M,Single,0,D,699.1471439
4419,171625,67,49,2,F,Married,14,P,174.9818267
4420,125014,61,43,2,M,Single,1,P,402.5741106
4421,170128,20,1,2,M,Married,14,D,565.7705528
4422,101165,34,16,2,F,Single,3,P,436.1101317
4423,157666,66,49,2,F,Married,3,P,285.9494897
4424,171216,30,12,2,M,Single,15,P,349.1487161
4425,134074,25,8,2,F,Married,13,P,258.95265
4426,163563,29,10,2,M,Married,7,P,322.1484453
4427,126252,68,51,2,F,Single,4,P,388.1607412
4428,162083,18,0,2,M,Married,15,P,332.2094764
4429,185536,23,6,2,F,Married,12,P,261.7516407
4430,131622,61,43,2,F,Married,1,P,109.5964897
4431,170260,17,0,2,F,Single,7,D,731.3380755
4432,132805,69,51,2,F,Single,14,P,372.345364
4433,148302,17,0,2,M,Married,0,D,663.8869849
4434,119153,63,43,2,M,Single,11,P,301.6389251
4435,154679,46,29,2,F,Single,10,P,404.0795519
4436,153821,51,31,2,F,Single,11,P,308.7935312
4437,181285,40,19,2,M,Married,2,P,398.0874134
4438,160813,36,19,2,M,Married,6,P,318.751178
4439,195939,31,10,2,M,Single,13,P,347.2765155
4440,165484,44,25,2,M,Married,10,P,341.1858165
4441,111323,61,43,2,F,Single,3,P,390.3536993
4442,146046,41,21,2,F,Single,6,P,421.7293981
4443,175149,70,50,2,F,Single,6,P,390.0849495
4444,189685,63,43,2,F,Married,8,P,117.5557386
4445,115872,18,0,2,F,Single,11,D,695.1091588
4446,183397,67,49,2,F,Married,8,P,207.7536776
4447,188043,68,47,2,F,Married,0,P,168.1164938
4448,109129,31,10,2,F,Single,14,P,137.3592826
4449,134676,46,29,2,M,Single,10,D,535.2924095
4450,110604,58,39,2,M,Single,6,P,473.3205102
4451,174281,57,36,2,M,Single,3,D,924.9965684
4452,198008,25,7,2,M,Married,14,P,305.0281605
4453,184666,42,23,2,F,Single,10,P,341.5910745
4454,106413,60,41,2,F,Single,2,P,296.6977344
4455,170229,30,10,2,M,Married,0,D,631.7516049
4456,113670,50,32,2,M,Single,4,D,788.0825102
4457,136995,65,45,2,F,Married,12,P,174.7134006
4458,139096,21,4,2,F,Married,12,P,170.4990327
4459,158773,33,15,2,M,Single,13,P,270.3458042
4460,127590,61,43,2,F,Single,13,P,389.4722314
4461,108668,49,31,2,M,Single,10,P,360.4891664
4462,102413,69,51,2,M,Single,3,P,274.4210471
4463,183569,69,51,2,F,Single,11,P,54.54551587
4464,164279,57,37,2,M,Single,12,P,152.0623207
4465,162062,64,45,2,M,Single,2,D,524.356007
4466,152304,68,48,2,M,Married,10,P,172.1532142
4467,158175,61,44,2,F,Married,12,P,123.1137754
4468,199174,25,7,2,F,Single,1,D,857.9935307
4469,102999,19,0,2,F,Married,6,P,469.2722573
4470,139580,27,8,2,M,Married,7,P,424.3758894
4471,153050,47,26,2,M,Married,9,P,357.0108591
4472,100377,17,0,2,M,Married,8,P,477.0562697
4473,158972,55,34,2,F,Married,4,D,602.9165094
4474,189545,50,33,2,F,Single,0,D,652.433378
4475,141866,60,40,2,M,Married,2,P,100.1397243
4476,143303,20,1,2,M,Single,8,D,1092.721727
4477,136782,25,6,2,M,Single,14,D,981.002503
4478,116143,42,23,2,M,Single,8,P,461.4186021
4479,106931,24,7,2,F,Married,11,P,256.3592184
4480,118998,66,46,2,M,Single,3,P,236.1840765
4481,180655,49,30,2,M,Married,12,P,226.7195827
4482,143239,21,2,2,M,Single,13,D,556.8865116
4483,177299,62,41,2,F,Married,4,P,283.0600948
4484,181569,63,45,2,M,Married,13,P,74.96116919
4485,120846,69,51,2,F,Single,2,P,340.7535528
4486,171130,69,49,2,F,Single,15,P,159.6179518
4487,175108,49,32,2,F,Single,8,P,468.2818545
4488,128670,54,37,2,F,Single,12,P,366.2778176
4489,149670,16,0,2,M,Married,8,P,396.9247136
4490,186451,61,40,2,F,Single,6,P,141.0243744
4491,172940,41,23,2,M,Married,3,P,398.3501109
4492,110194,19,2,2,M,Married,12,P,244.748224
4493,120888,41,23,2,F,Single,10,P,316.6019221
4494,122190,63,46,2,M,Married,5,P,200.5488273
4495,174974,64,47,2,F,Married,4,P,141.9896861
4496,119461,39,22,2,M,Married,15,P,267.2414317
4497,153809,66,48,2,M,Married,7,P,170.0476499
4498,113303,67,50,2,F,Married,8,P,132.6744557
4499,119743,20,3,2,F,Single,10,P,496.3034295
4500,165436,56,38,2,F,Single,8,P,419.3565651
4501,198995,31,10,2,F,Married,8,P,291.3184574
4502,129986,25,6,2,M,Married,11,P,245.3725447
4503,177809,22,5,2,F,Married,11,P,278.5209343
4504,148944,39,22,2,M,Single,14,P,185.2458451
4505,145650,40,19,2,F,Married,6,P,380.4858605
4506,181771,52,32,2,M,Married,5,D,529.7386863
4507,133600,34,13,2,F,Married,11,P,289.2435646
4508,176201,36,16,2,M,Single,3,D,738.4086177
4509,172363,64,45,2,M,Married,5,P,337.7526133
4510,117028,22,3,2,M,Married,11,P,194.0060904
4511,158306,23,6,2,M,Married,8,D,521.9025364
4512,128033,63,43,2,F,Single,0,D,665.2165102
4513,164819,32,11,2,M,Married,7,P,370.4949476
4514,196584,25,7,2,F,Single,12,P,350.0970634
4515,177506,61,42,2,F,Single,0,P,187.5365645
4516,189749,60,42,2,M,Single,10,P,240.0642337
4517,143882,33,14,2,M,Single,10,P,387.8970548
4518,175202,44,23,2,M,Single,15,P,354.5241248
4519,166336,36,18,2,F,Single,1,P,477.2749712
4520,188162,34,14,2,F,Married,10,P,334.4126622
4521,113983,50,33,2,F,Married,0,P,422.1836566
4522,122442,19,1,2,F,Married,13,P,184.7519116
4523,151490,25,7,2,F,Single,14,P,305.8109081
4524,140119,64,43,2,M,Married,2,P,213.5175971
4525,126838,20,3,2,M,Married,8,P,347.0277294
4526,104920,59,38,2,M,Single,12,P,494.465162
4527,101476,30,12,2,M,Single,10,P,472.8663498
4528,119658,33,16,2,M,Single,9,D,509.6045066
4529,105133,59,40,2,F,Single,12,P,246.3331978
4530,104707,66,48,2,F,Single,3,P,59.24822739
4531,100174,67,49,2,F,Single,0,P,455.5473483
4532,193872,65,47,2,M,Married,9,P,141.6715803
4533,150806,28,9,2,F,Married,13,P,319.5596127
4534,106273,31,10,2,F,Married,11,P,312.4465176
4535,196695,18,0,2,M,Single,12,D,516.6607639
4536,141507,62,43,2,F,Married,3,P,200.5838031
4537,132910,17,0,2,F,Married,11,P,455.3669137
4538,183760,63,45,2,M,Single,14,P,236.0096439
4539,197791,62,44,2,M,Married,9,P,214.3062182
4540,106322,17,0,2,F,Married,14,P,163.4888262
4541,171816,70,50,2,M,Single,13,P,16.55863596
4542,112035,67,47,2,M,Married,10,P,221.5763437
4543,127222,30,12,2,F,Married,2,D,509.4519769
4544,191825,66,49,2,M,Married,13,P,175.8884718
4545,127747,53,33,2,M,Single,10,P,490.6586864
4546,185559,30,10,2,F,Single,3,P,417.6042699
4547,112707,19,0,2,F,Single,14,P,186.4975253
4548,192402,51,33,2,M,Single,1,D,525.1884374
4549,149049,16,0,2,F,Single,8,D,863.5664988
4550,171324,16,0,2,F,Single,14,P,434.3302549
4551,166328,56,37,2,M,Single,1,D,602.3317886
4552,118428,56,38,2,M,Married,10,P,335.2309377
4553,140198,25,6,2,F,Married,13,P,285.7204047
4554,173538,22,5,2,M,Married,13,D,574.688578
4555,132425,20,1,2,F,Single,15,P,329.4951415
4556,144427,55,36,2,F,Single,6,P,394.2260359
4557,174792,53,34,2,F,Single,8,P,405.5257902
4558,149254,60,40,2,F,Single,5,P,320.4630531
4559,167677,63,45,2,M,Married,8,P,337.1433254
4560,140821,46,29,2,F,Married,0,P,473.0895948
4561,159180,23,5,2,M,Single,15,D,709.7052299
4562,123041,63,44,2,M,Married,15,P,110.9730614
4563,182645,54,35,2,M,Single,9,P,417.4354139
4564,100442,70,52,2,M,Single,0,P,350.0212837
4565,171269,70,53,2,M,Married,10,P,50.65198172
4566,172144,53,33,2,F,Single,12,P,325.810068
4567,185300,19,2,2,M,Married,13,P,243.4427274
4568,149488,53,33,2,F,Married,15,P,296.877291
4569,146724,62,43,2,F,Married,8,P,98.25327356
4570,138708,35,18,2,M,Married,9,P,401.7803639
4571,103414,49,28,2,F,Single,8,P,376.1090335
4572,159099,70,52,2,M,Married,5,P,140.6283107
4573,169509,65,48,2,M,Single,3,P,435.6436387
4574,177869,20,1,2,M,Single,10,D,1200
4575,175375,19,2,2,M,Single,13,D,1041.495458
4576,116273,64,47,2,M,Single,11,P,48.20137783
4577,188180,42,24,2,F,Single,2,D,690.3977415
4578,120634,25,8,2,F,Single,14,P,208.4650989
4579,179303,16,0,2,M,Married,15,P,395.3114021
4580,135471,56,36,2,F,Married,13,P,227.967879
4581,171632,70,51,2,M,Single,7,P,168.8770652
4582,105456,16,0,2,F,Single,15,P,412.5500186
4583,167577,37,19,2,F,Married,3,D,598.5651052
4584,135704,48,29,2,F,Single,9,P,425.7026245
4585,188343,31,14,2,M,Married,0,P,474.1045373
4586,170043,52,32,2,F,Single,13,P,323.8725235
4587,109240,33,16,2,M,Single,1,D,635.3621555
4588,179586,52,34,2,M,Single,15,P,368.4395827
4589,129230,51,30,2,F,Single,3,D,701.7325782
4590,129584,24,7,2,F,Single,14,D,623.1690893
4591,169733,31,13,2,F,Single,0,P,377.7105445
4592,188548,30,9,2,F,Single,9,P,455.0550828
4593,175284,68,49,2,F,Single,1,P,43.40882502
4594,134743,69,49,2,M,Single,9,P,229.1536957
4595,195304,58,38,2,M,Married,12,P,323.152546
4596,148191,65,48,2,F,Single,1,P,111.3605932
4597,139104,63,43,2,F,Single,11,P,18.39388561
4598,194121,66,45,2,F,Married,8,P,153.7567657
4599,175191,28,8,2,M,Married,6,P,360.5535877
4600,167093,32,13,2,F,Married,0,D,602.9203731
4601,175752,66,49,2,F,Married,10,P,231.7778468
4602,101468,46,26,2,F,Married,13,P,217.5709589
4603,186696,63,43,2,F,Married,13,P,235.020936
4604,131607,28,8,2,F,Single,7,P,473.2256212
4605,154215,67,46,2,M,Married,7,P,338.9769113
4606,141578,43,23,2,F,Married,2,P,390.9438171
4607,191637,16,0,2,F,Single,14,P,358.8569449
4608,158249,38,20,2,M,Married,3,D,513.4092655
4609,165495,56,39,2,M,Single,6,D,504.3038973
4610,144978,69,52,2,M,Married,14,P,117.261906
4611,106788,47,28,2,M,Married,1,D,518.3633147
4612,159207,62,43,2,F,Married,12,P,17.62387915
4613,164082,25,8,2,F,Married,15,P,218.1612906
4614,187420,22,4,2,F,Married,3,P,387.2199773
4615,182370,31,14,2,F,Single,13,P,429.6450408
4616,181759,19,0,2,F,Single,11,P,283.2421494
4617,183339,64,43,2,F,Married,3,P,205.2059665
4618,160704,64,45,2,M,Single,11,P,358.3010608
4619,181125,65,47,2,M,Married,3,P,354.2202083
4620,158744,17,0,2,M,Married,15,P,488.2250123
4621,154742,38,21,2,F,Married,8,P,316.5019388
4622,164014,38,20,2,F,Married,14,P,182.2446094
4623,186464,60,43,2,F,Single,5,P,317.6100662
4624,154024,33,12,2,F,Single,12,P,237.228971
4625,123118,17,0,2,M,Single,8,D,1200
4626,137599,18,0,2,M,Married,13,P,387.745597
4627,100607,62,43,2,F,Married,8,P,62.914229
4628,196332,70,52,2,F,Single,13,P,188.6227569
4629,109823,23,6,2,F,Married,10,P,338.6778191
4630,110799,25,7,2,F,Single,10,D,562.181514
4631,190133,18,0,2,M,Single,15,P,463.2390525
4632,131459,61,42,2,M,Single,6,P,400.0163768
4633,132014,65,45,2,M,Single,6,D,533.4980434
4634,129946,16,0,2,M,Single,9,D,782.3743275
4635,100312,34,14,2,M,Married,7,P,353.1886871
4636,196152,43,23,2,F,Single,15,P,141.6558586
4637,123968,19,0,2,F,Single,10,P,472.1382826
4638,172964,60,39,2,F,Single,6,P,301.1482711
4639,187693,23,4,2,M,Married,5,D,551.8162587
4640,148491,45,24,2,F,Married,3,D,620.9608287
4641,160769,21,4,2,M,Single,14,D,753.1638178
4642,140732,38,20,2,F,Married,4,P,421.6299652
4643,168134,16,0,2,F,Single,11,P,414.7386962
4644,133739,58,37,2,M,Single,0,D,800.9668415
4645,109392,68,50,2,M,Single,10,P,86.40253407
4646,114614,64,47,2,F,Married,8,P,45.8953299
4647,189329,34,16,2,F,Single,9,P,344.2895924
4648,139960,43,24,2,F,Single,2,P,478.956515
4649,115796,53,33,2,F,Married,12,P,260.947997
4650,156634,27,8,2,F,Single,3,D,685.5365484
4651,112483,16,0,2,F,Single,15,D,535.3980403
4652,176091,26,6,2,M,Married,6,P,376.8354896
4653,182799,42,22,2,M,Single,3,D,756.6293924
4654,126520,50,29,2,M,Single,11,D,518.1773009
4655,138948,25,8,2,F,Married,13,P,475.6124439
4656,122791,53,34,2,F,Married,7,P,358.3340559
4657,144515,67,50,2,M,Married,7,P,103.0383765
4658,125466,47,28,2,F,Married,10,P,334.1708324
4659,184719,34,16,2,M,Single,12,P,443.5268424
4660,198791,67,48,2,M,Single,5,P,138.816053
4661,157984,47,30,2,F,Single,0,D,535.32901
4662,147620,48,27,2,F,Married,1,D,571.8643026
4663,107372,66,47,2,F,Married,6,P,292.5163962
4664,135757,50,31,2,F,Single,8,P,389.7354599
4665,198806,34,14,2,M,Married,5,D,558.5397196
4666,181139,21,4,2,F,Single,15,D,715.6296193
4667,150686,60,40,2,F,Married,13,P,256.5214825
4668,153573,55,34,2,F,Single,8,P,382.7987489
4669,126059,19,0,2,M,Single,12,D,511.7228049
4670,147340,60,40,2,M,Married,13,P,201.4466206
4671,157860,52,35,2,M,Married,1,P,488.2366164
4672,101320,20,3,2,F,Single,15,P,315.5982887
4673,199787,30,11,2,M,Married,15,P,232.6932893
4674,163134,68,49,2,F,Single,12,P,130.1047303
4675,134402,68,51,2,M,Single,6,P,141.1640445
4676,173603,36,17,2,M,Married,12,P,205.3902518
4677,158254,60,43,2,F,Single,8,P,320.0999341
4678,193336,69,49,2,F,Single,4,P,417.6620295
4679,155764,42,22,2,F,Married,5,D,526.5832167
4680,134297,56,36,2,F,Married,6,P,309.7220679
4681,196909,24,7,2,F,Single,9,D,692.2309
4682,112958,20,2,2,F,Married,12,P,281.0141047
4683,123394,61,42,2,F,Single,14,P,24.21601283
4684,168588,69,49,2,M,Single,6,P,384.149582
4685,156649,17,0,2,M,Married,11,P,339.9900303
4686,174049,43,23,2,M,Married,14,P,288.172329
4687,119043,16,0,2,M,Single,4,D,1200
4688,188603,28,8,2,F,Married,9,P,324.6162633
4689,163646,17,0,2,M,Married,12,D,626.8658074
4690,128649,66,47,2,M,Married,7,P,223.7601178
4691,176348,24,5,2,F,Single,11,D,563.6946496
4692,103107,22,4,2,M,Single,2,D,1200
4693,115954,21,2,2,F,Married,11,P,287.8762396
4694,135840,56,39,2,F,Married,8,P,294.1870698
4695,134804,33,14,2,F,Married,14,P,278.7847833
4696,116768,35,15,2,M,Married,9,P,366.0017822
4697,142373,28,8,2,M,Single,10,P,421.3970439
4698,179705,17,0,2,F,Married,14,P,105.5195049
4699,124299,62,42,2,M,Single,8,P,65.68530084
4700,107134,19,2,2,M,Married,10,P,479.8115482
4701,146923,58,39,2,F,Single,14,P,428.8592904
4702,144286,37,19,2,F,Single,12,P,264.6726718
4703,136954,65,45,2,F,Married,13,P,110.1622715
4704,129391,51,31,2,F,Married,12,P,100.2061501
4705,141220,55,36,2,F,Married,14,P,293.2596459
4706,174163,26,7,2,F,Single,0,D,639.34696
4707,104841,64,44,2,M,Married,4,P,60.55368144
4708,186676,39,22,2,M,Married,15,P,365.1659112
4709,101039,22,5,2,M,Married,13,P,185.4327464
4710,199376,49,32,2,M,Single,6,P,462.1949318
4711,133428,62,44,2,F,Single,10,P,386.6502847
4712,169392,25,6,2,F,Single,6,P,430.1482025
4713,114603,16,0,2,M,Single,14,P,475.5995397
4714,160510,22,5,2,F,Married,1,D,681.6681284
4715,178300,53,35,2,F,Married,10,P,369.8709847
4716,127564,68,48,2,M,Single,9,P,300.270217
4717,155351,61,41,2,M,Single,11,P,184.1277861
4718,133254,59,42,2,M,Single,11,D,525.6856088
4719,139979,19,1,2,F,Single,0,D,1162.112704
4720,100467,68,51,2,F,Single,8,P,177.9324401
4721,176097,21,2,2,M,Married,14,P,115.6370943
4722,157157,24,5,2,F,Single,14,P,362.3409641
4723,176476,17,0,2,F,Married,8,P,432.9213332
4724,176253,25,8,2,M,Single,15,P,469.5215724
4725,106507,41,24,2,M,Married,10,P,365.3682534
4726,135354,17,0,2,M,Married,7,D,584.5653071
4727,138241,63,46,2,M,Married,11,P,66.23357793
4728,136760,57,39,2,F,Single,5,P,421.8803667
4729,138683,17,0,2,M,Married,6,D,553.8790435
4730,180127,31,12,2,F,Single,7,P,424.2943953
4731,157762,16,0,2,M,Married,13,P,204.9570603
4732,109165,27,9,2,F,Single,13,P,331.6471059
4733,156817,16,0,2,F,Single,4,D,1133.909051
4734,144840,22,5,2,F,Married,13,P,235.5643519
4735,130427,69,48,2,F,Single,6,P,270.9878941
4736,116082,67,50,2,F,Married,11,P,256.2403446
4737,111243,31,14,2,M,Single,12,P,293.3821636
4738,138712,37,16,2,M,Married,9,P,422.4744399
4739,145750,34,13,2,F,Single,15,P,384.9820021
4740,130480,65,48,2,M,Single,15,P,234.8463574
4741,179940,63,42,2,M,Married,6,P,107.6584512
4742,192857,23,6,2,M,Single,13,D,681.6024216
4743,131794,21,2,2,M,Single,6,D,917.9892784
4744,100901,43,23,2,M,Married,6,P,330.1191091
4745,176096,53,36,2,F,Married,1,P,476.5679194
4746,115009,26,9,2,F,Single,0,D,521.7207259
4747,168636,25,6,2,M,Married,6,D,642.8873908
4748,195119,19,0,2,F,Married,14,P,290.1292949
4749,129921,59,38,2,M,Married,2,P,375.8090896
4750,110225,68,51,2,M,Single,0,P,246.7727365
4751,170144,20,1,2,F,Married,11,P,181.1133935
4752,158281,21,3,2,M,Single,9,D,1014.926338
4753,151963,63,44,2,M,Single,10,P,122.490126
4754,150132,19,1,2,F,Married,13,P,121.0765599
4755,115130,37,18,2,F,Married,5,P,495.27612
4756,151827,35,15,2,M,Married,6,P,373.2377504
4757,183530,22,5,2,M,Single,11,D,758.3316514
4758,176701,67,46,2,F,Married,10,P,222.2513137
4759,151850,68,50,2,M,Single,9,P,42.99304197
4760,145758,69,51,2,F,Married,4,P,386.8914346
4761,178969,69,51,2,M,Married,5,P,264.7913926
4762,137626,23,6,2,F,Married,15,P,255.527599
4763,139013,46,29,2,F,Single,3,P,477.8429567
4764,129952,68,51,2,M,Married,12,P,31.12221416
4765,118320,67,48,2,F,Single,14,P,23.17656269
4766,116783,36,15,2,F,Single,13,P,238.8627913
4767,172145,61,44,2,M,Married,15,P,32.13850999
4768,149669,65,45,2,F,Married,9,P,351.1961222
4769,162323,69,50,2,M,Married,3,P,61.21346914
4770,184533,17,0,2,F,Married,15,P,215.2266118
4771,166127,16,0,2,F,Married,13,P,304.3596949
4772,194081,16,0,2,F,Married,14,P,250.5357625
4773,185098,20,1,2,F,Married,9,P,306.5802683
4774,118829,63,46,2,F,Married,9,P,34.36052183
4775,113585,29,12,2,F,Single,8,P,474.8403496
4776,121660,61,43,2,F,Married,10,P,252.4533935
4777,134103,54,33,2,F,Married,11,P,267.5866584
4778,144413,68,51,2,M,Single,5,P,267.2097953
4779,160670,30,13,2,F,Married,4,P,481.0608707
4780,168830,63,46,2,M,Single,7,P,410.8016095
4781,149617,61,42,2,F,Married,6,P,70.23548331
4782,157853,58,40,2,M,Single,0,D,877.1687137
4783,132224,28,8,2,F,Married,13,P,222.4028062
4784,110919,58,41,2,M,Married,7,P,382.7712477
4785,131410,62,41,2,F,Single,13,P,102.6944895
4786,196484,36,19,2,F,Single,10,P,422.9126911
4787,200208,21,2,2,M,Married,15,P,484.4608066
4788,167381,47,27,2,F,Single,1,D,568.1048662
4789,189976,51,32,2,F,Married,1,P,476.4940151
4790,124596,46,26,2,F,Single,4,D,691.5961948
4791,164942,63,43,2,F,Married,12,P,66.30321234
4792,161841,69,52,2,M,Married,15,P,213.322691
4793,126368,70,50,2,M,Single,9,P,400.0748994
4794,188105,16,0,2,F,Married,14,P,309.9269399
4795,167399,19,1,2,M,Single,12,D,1084.643825
4796,147909,60,43,2,M,Single,11,P,131.0345546
4797,188652,23,4,2,F,Married,14,P,343.544987
4798,160235,25,7,2,M,Married,12,D,599.941101
4799,120755,21,2,2,M,Single,10,D,1034.576892
4800,147503,25,7,2,F,Single,11,D,759.9206549
4801,195194,16,0,2,F,Married,8,P,253.2009313
4802,136781,19,1,2,M,Married,6,D,619.2836967
4803,101294,16,0,2,M,Married,11,P,454.3752391
4804,190665,29,9,2,F,Single,10,P,454.4628239
4805,146889,26,6,2,F,Single,0,D,521.4251691
4806,100471,58,40,2,F,Married,6,P,313.3115668
4807,128105,26,5,2,F,Single,0,D,743.8404236
4808,169744,25,7,2,F,Married,13,P,271.4999002
4809,103054,36,16,2,M,Married,14,P,246.7423689
4810,111714,18,0,2,M,Married,9,P,469.4447224
4811,165997,24,6,2,M,Married,12,P,358.6754086
4812,180588,69,49,2,F,Single,0,P,181.6719283
4813,112888,37,16,2,F,Married,10,P,331.1874007
4814,108621,68,47,2,F,Married,1,P,394.5895239
4815,145441,28,8,2,M,Married,9,P,377.2063695
4816,182604,18,0,2,F,Married,15,P,184.2619675
4817,199314,49,30,2,M,Married,7,P,355.1656604
4818,148672,61,44,2,M,Single,9,P,182.8579739
4819,136216,44,25,2,F,Single,9,P,417.6475313
4820,131221,24,6,2,M,Single,11,D,906.1379206
4821,111950,65,47,2,F,Married,0,P,151.1795166
4822,127337,21,4,2,F,Married,14,P,388.349014
4823,126002,23,4,2,F,Married,12,P,220.3915989
4824,179326,60,43,2,F,Single,1,D,673.7004525
4825,167632,30,9,2,M,Single,13,P,358.7909877
4826,106693,23,5,2,M,Single,11,D,726.7582512
4827,120448,69,52,2,F,Married,7,P,78.00479255
4828,167642,66,45,2,M,Married,6,P,240.0206554
4829,140023,38,17,2,M,Single,2,D,784.4685291
4830,187201,61,41,2,M,Married,8,P,84.50606754
4831,132905,65,46,2,M,Married,2,P,189.1190181
4832,197916,19,0,2,M,Married,13,P,369.0411629
4833,158355,16,0,2,M,Single,14,P,437.8069624
4834,185366,41,24,2,M,Married,7,P,354.2510202
4835,167963,39,22,2,M,Married,2,P,448.20283
4836,180133,23,4,2,F,Married,8,D,500.0157464
4837,135025,44,26,2,M,Married,0,D,681.5267918
4838,185447,33,13,2,M,Married,7,P,379.5789069
4839,196919,18,1,2,M,Married,12,P,260.0719096
4840,181808,37,18,2,F,Married,3,P,488.343685
4841,187621,24,7,2,F,Married,4,D,659.7952018
4842,117381,70,53,2,F,Married,12,P,154.7307542
4843,182988,29,8,2,F,Married,12,P,315.2526124
4844,189352,70,50,2,M,Single,7,P,459.0836812
4845,141230,42,22,2,M,Married,6,P,349.1696365
4846,186749,34,15,2,M,Single,8,P,446.7676713
4847,151303,60,41,2,F,Single,10,P,336.7476761
4848,103113,69,49,2,M,Single,8,P,283.4059068
4849,150981,54,37,2,F,Married,4,P,433.7988397
4850,180306,20,3,2,F,Married,12,P,124.4894147
4851,168963,18,1,2,F,Married,14,P,133.9794244
4852,151690,35,18,2,F,Married,11,P,290.8274344
4853,148352,33,16,2,F,Single,12,P,182.0703443
4854,178009,70,53,2,M,Married,8,P,213.597578
4855,100778,65,47,2,M,Single,7,P,327.3019603
4856,130843,55,34,2,M,Single,5,D,898.5889774
4857,162913,17,0,2,F,Married,14,P,198.3257158
4858,131367,56,35,2,F,Married,10,P,304.3149226
4859,120837,31,10,2,F,Single,8,P,367.4919132
4860,161194,35,18,2,M,Married,8,P,313.9556337
4861,120604,38,20,2,F,Single,14,P,403.5861793
4862,191325,67,50,2,F,Married,15,P,84.28116303
4863,109426,21,2,2,M,Single,15,D,1200
4864,183067,66,48,2,F,Married,5,P,252.7599084
4865,118698,32,12,2,M,Single,3,P,484.183253
4866,114149,68,51,2,M,Married,7,P,67.09859785
4867,175464,39,22,2,F,Single,14,P,380.2390255
4868,181057,21,3,2,M,Married,4,D,883.5604761
4869,177911,39,18,2,F,Married,10,P,348.6496435
4870,192798,40,20,2,M,Married,4,P,467.6091343
4871,132461,34,15,2,M,Single,1,D,602.7205126
4872,122243,57,40,2,F,Single,9,P,420.9816334
4873,107925,52,31,2,M,Married,5,D,679.4670175
4874,162128,29,9,2,F,Single,0,D,655.0052795
4875,113797,31,12,2,F,Married,8,P,306.5892045
4876,139691,26,6,2,F,Single,7,P,346.6259326
4877,151981,32,12,2,F,Single,8,P,388.2892987
4878,173146,29,11,2,M,Married,7,P,319.8674797
4879,164991,50,33,2,M,Single,12,P,352.0222124
4880,110816,64,45,2,F,Married,2,P,106.9182747
4881,169826,18,0,2,F,Married,11,P,217.1088822
4882,173344,52,31,2,M,Single,10,P,393.3277765
4883,186780,68,48,2,F,Married,7,P,129.1156282
4884,118207,35,18,2,F,Single,7,P,481.8868022
4885,104525,62,42,2,M,Single,3,D,591.4482438
4886,129017,57,37,2,F,Married,15,P,142.2245697
4887,113975,55,38,2,F,Married,9,P,280.135132
4888,143149,52,32,2,F,Single,9,P,389.9110341
4889,195435,22,5,2,F,Married,14,P,330.2577944
4890,184934,36,17,2,F,Single,7,P,368.6566367
4891,131590,46,25,2,F,Single,6,P,428.5202743
4892,198363,21,3,2,F,Married,14,P,153.7438074
4893,101926,62,43,2,F,Married,8,P,141.3103188
4894,163307,30,10,2,F,Single,0,D,701.8218843
4895,128056,17,0,2,F,Single,12,D,811.6163512
4896,101627,31,12,2,F,Single,2,D,617.0991685
4897,106368,55,37,2,F,Single,7,P,414.9357568
4898,192750,26,7,2,F,Married,8,P,300.8567133
4899,136370,28,8,2,F,Married,9,P,281.4052085
4900,144980,60,43,2,F,Single,7,P,342.9824095
4901,108545,53,36,2,M,Married,12,P,196.7456397
4902,134487,27,6,2,M,Married,3,D,681.3895589
4903,190823,68,48,2,M,Single,3,D,762.3992413
4904,162938,28,7,2,F,Married,6,P,334.5390852
4905,186846,45,25,2,F,Married,10,P,333.8893909
4906,153709,18,0,2,F,Single,1,D,735.4720889
4907,102684,51,33,2,M,Married,0,P,447.8181147
4908,123452,55,37,2,M,Single,6,P,349.693678
4909,160398,29,8,2,F,Single,3,D,691.0368252
4910,121723,57,38,2,M,Married,15,P,342.0250702
4911,135362,18,1,2,M,Single,13,D,518.4613744
4912,197116,23,6,2,M,Single,14,D,778.4199705
4913,113819,62,41,2,F,Single,3,P,234.0169203
4914,106584,16,0,2,M,Single,12,D,633.0287569
4915,137586,43,23,2,F,Married,4,P,415.3391371
4916,160589,65,45,2,F,Single,8,P,228.7047373
4917,155394,24,5,2,F,Single,11,P,345.91391
4918,133911,47,29,2,M,Married,10,P,353.1585726
4919,165059,55,38,2,M,Single,7,P,465.282525
4920,116337,33,14,2,F,Single,1,D,898.8948057
4921,156278,40,22,2,M,Single,1,P,468.9365058
4922,149419,56,38,2,M,Married,10,P,361.2911271
4923,184811,63,42,2,M,Single,9,P,272.8974502
4924,176183,27,8,2,M,Single,10,D,505.7678196
4925,110528,29,8,2,M,Single,1,D,757.7647701
